U,A_j,alpha,threshold,mean_corr,median_corr,std_corr
0.3,3.5,0.75,0.1,0.24055552641874214,0.2237433853992998,0.11208366986887164
0.9,4.0,0.75,0.1,0.37102944497494944,0.34878129002429425,0.17972674537604533
0.6,4.0,0.75,0.1,0.26540094226554706,0.2564496474616481,0.11048813057936928
0.3,4.0,0.75,0.1,0.2126908655040384,0.19491324774729168,0.09680138744096689
0.9,4.5,0.75,0.1,0.3167835985123758,0.2966237681652811,0.1674962181518774
0.6,4.5,0.75,0.1,0.26660008482857955,0.2633485011757168,0.11949828525422439
0.3,4.5,0.75,0.1,0.2009306866308034,0.1849636772019121,0.09892286798609884
0.9,5.0,0.75,0.1,0.3468820029579348,0.32724814668306745,0.16520444873326248
0.6,5.0,0.75,0.1,0.23567062252429552,0.23629832372030957,0.11394981701414075
0.3,5.0,0.75,0.1,0.18606421349121607,0.1853728374848186,0.08297216554495561
0.9,0.0,1.0,0.1,-0.0013750634875065739,-0.0064291829859798606,0.029034044847007716
0.6,0.0,1.0,0.1,0.0009211849508590793,-0.0004336273899909113,0.02615190413249863
0.3,0.0,1.0,0.1,0.0031705614816289803,-0.00017640897626607755,0.024432164718362088
0.9,0.5,1.0,0.1,0.4909257272220159,0.4819392136703372,0.18233075782452304
0.6,0.5,1.0,0.1,0.4316295523629254,0.440365999108008,0.14577962868401195
0.3,0.5,1.0,0.1,0.36344666890732164,0.35968309276972743,0.1363994270647971
0.9,1.0,1.0,0.1,0.4922915891664371,0.4920343549365639,0.18661045226470832
0.6,1.0,1.0,0.1,0.3870032625985725,0.38532776039473304,0.15334922904001513
0.3,1.0,1.0,0.1,0.34457733607679714,0.344832343118172,0.1337065993290433
0.9,1.5,1.0,0.1,0.43832910042146545,0.4452568839769404,0.1752463301056606
0.6,1.5,1.0,0.1,0.37962933942617555,0.36371811046971314,0.14013863519599198
0.3,1.5,1.0,0.1,0.3227255173315609,0.3169590128678115,0.11490657157085332
0.9,2.0,1.0,0.1,0.45364188501547903,0.4266937729748008,0.18375176216442038
0.6,2.0,1.0,0.1,0.3481996923687364,0.33585498240379197,0.1204476703027502
0.3,2.0,1.0,0.1,0.3031047527261434,0.2993963375202673,0.11320072231158736
0.9,2.5,1.0,0.1,0.4477473200668328,0.42444187933966104,0.19484479014812264
0.6,2.5,1.0,0.1,0.3498569131528116,0.34410057329748744,0.1369778531462903
0.3,2.5,1.0,0.1,0.2761119479204619,0.2651292446480157,0.11207601797216941
0.9,3.0,1.0,0.1,0.37142853195222775,0.3709189871029245,0.15806147850880156
0.6,3.0,1.0,0.1,0.33998036739447846,0.32473777127810277,0.12604990456611434
0.3,3.0,1.0,0.1,0.2783129178190321,0.2787123825585598,0.11673023135912743
0.9,3.5,1.0,0.1,0.3711579298631692,0.3755840621405483,0.16971380285549725
0.6,3.5,1.0,0.1,0.3031756362855522,0.29458736233754834,0.12831644820581337
0.3,3.5,1.0,0.1,0.24495701292283845,0.2327078817000524,0.1118537734182903
0.9,4.0,1.0,0.1,0.3575961912253039,0.3746306967325059,0.1510503167335321
0.6,4.0,1.0,0.1,0.29749597500995195,0.292754621625749,0.11813416066657326
0.3,4.0,1.0,0.1,0.22491032507543918,0.22598405655283382,0.09225716461421572
0.9,4.5,1.0,0.1,0.3214222025606596,0.308711657684303,0.14959537250269897
0.6,4.5,1.0,0.1,0.2559533856584078,0.253391802800513,0.11326015721272167
0.3,4.5,1.0,0.1,0.2060358568417919,0.19069549153874765,0.10720701604958174
0.9,5.0,1.0,0.1,0.33237076652986,0.3040425663048953,0.16402656542690053
0.6,5.0,1.0,0.1,0.24678880026268765,0.24982263176799774,0.11566709184383998
