U,A_j,alpha,threshold,mean_I,median_I,std_I
0.6,5.0,0.0,0.1,1.0,1.0,7.195067539997723e-17
0.6,5.0,0.0,0.2,1.0,1.0,4.154074181055225e-17
0.6,5.0,0.0,0.3,1.0,1.0,1.1157603309187458e-16
0.6,5.0,1.0,0.1,0.07877678062190058,0.02349229454151762,0.20731479710323694
0.6,5.0,1.0,0.2,0.05017746746976621,0.027968138996170552,0.1337248437670053
0.6,5.0,1.0,0.3,0.034954390338912775,0.031562024977150285,0.018547664101577384
0.9,0.0,0.0,0.1,1.0,1.0,7.364386412590295e-17
0.9,0.0,0.0,0.2,1.0,1.0,9.614813431917819e-17
0.9,0.0,0.0,0.3,1.0,1.0,1.1801832636420704e-16
0.9,0.0,1.0,0.1,0.06725190518967665,0.026765580276635538,0.1825795448382831
0.9,0.0,1.0,0.2,0.12655715080938618,0.03590782026289836,0.2823912914205829
0.9,0.0,1.0,0.3,0.07554025860582415,0.028726519206118746,0.20188197014947343
0.9,1.0,0.0,0.1,1.0,1.0,8.15843973306311e-17
0.9,1.0,0.0,0.2,1.0,1.0,9.42055475210265e-17
0.9,1.0,0.0,0.3,1.0,1.0,1.2008898127460162e-16
0.9,1.0,1.0,0.1,0.11438076111506518,0.04049775557740283,0.25209944306973686
0.9,1.0,1.0,0.2,0.07987396101251014,0.031464702872270545,0.20417952223485747
0.9,1.0,1.0,0.3,0.0890463320798155,0.0320333360117661,0.22121140057019475
0.9,2.0,0.0,0.1,1.0,1.0,7.447602459741819e-17
0.9,2.0,0.0,0.2,1.0,1.0,8.881784197001253e-17
0.9,2.0,0.0,0.3,1.0,1.0,9.742167503148516e-17
0.9,2.0,1.0,0.1,0.07584935340305338,0.03534288231394338,0.1848306167317544
0.9,2.0,1.0,0.2,0.0785336708723747,0.030253217585486176,0.20748999545138244
0.9,2.0,1.0,0.3,0.07289539720473598,0.03178192168226218,0.18277846452754046
0.9,3.0,0.0,0.1,1.0,1.0,8.382000022145452e-17
0.9,3.0,0.0,0.2,1.0,1.0,9.354905487120433e-17
0.9,3.0,0.0,0.3,1.0,1.0,1.0053497077208613e-16
0.9,3.0,1.0,0.1,0.09449814526316316,0.03320953415711628,0.2237878239007513
0.9,3.0,1.0,0.2,0.0746430683070268,0.03783023292829009,0.18409035302972962
