U,A_j,alpha,threshold,mean_I,median_I,std_I
0.9,1.0,0.0,0.2,0.4839967111015696,0.47362347705514846,0.23467021942627195
0.9,1.0,0.0,0.3,0.4118972883832101,0.4169394006056124,0.21319021520770579
0.9,1.0,0.25,0.1,0.5957058504875961,0.6070715132432989,0.1870870636155735
0.9,1.0,0.25,0.2,0.5133463042644505,0.49614075049147244,0.22669138189816715
0.9,1.0,0.25,0.3,0.389973930291472,0.3676215179240822,0.21974962294971176
0.9,1.0,0.5,0.1,0.6477171085690557,0.6478747362997692,0.19239887204271533
0.9,1.0,0.5,0.2,0.4996163009324245,0.4910461483297496,0.23218760794149884
0.9,1.0,0.5,0.3,0.43766429453926775,0.4236502921286682,0.2357222443611105
0.9,1.0,0.75,0.1,0.6081119467722997,0.6237772273059161,0.21218263643494847
0.9,1.0,0.75,0.2,0.5047077342629877,0.5366013908871061,0.22143199389006576
0.9,1.0,0.75,0.3,0.40141379547272293,0.40062346630460055,0.22867947702936448
0.9,1.0,1.0,0.1,0.5859896504125591,0.5840025306984514,0.21539867742746083
0.9,1.0,1.0,0.2,0.4878260346734658,0.5226661344641333,0.23507630678434044
0.9,1.0,1.0,0.3,0.4503275497015973,0.45443028448937106,0.24284812381124357
0.9,1.5,0.0,0.1,0.592635287395653,0.6206840194787265,0.1962951668274926
0.9,1.5,0.0,0.2,0.5095075771346295,0.49296140251468473,0.20744422938074103
0.9,1.5,0.0,0.3,0.39135398444939296,0.34786822392564015,0.23585569648050844
0.9,1.5,0.25,0.1,0.5906426245265359,0.6001280723625699,0.20488409151873332
0.9,1.5,0.25,0.2,0.5138132194520638,0.5480963072927545,0.2063556059414049
0.9,1.5,0.25,0.3,0.4193669374260544,0.41797391196096967,0.23235714816836556
0.9,1.5,0.5,0.1,0.6066050476614732,0.6185822358801024,0.18552486385343508
0.9,1.5,0.5,0.2,0.5033449968341985,0.5312338550682185,0.21717891595538552
0.9,1.5,0.5,0.3,0.37153561600409807,0.34167058695706765,0.21546234242478451
0.9,1.5,0.75,0.1,0.6057549090879415,0.6033123262791147,0.20363730696593887
0.9,1.5,0.75,0.2,0.44161402043677234,0.45170234427215905,0.2217369437281948
0.9,1.5,0.75,0.3,0.42093519728315565,0.42079386734297486,0.23009627373949157
0.9,1.5,1.0,0.1,0.5985200587572626,0.6188476890727515,0.1928178677804565
0.9,1.5,1.0,0.2,0.4973952081523506,0.5112801897241807,0.21200080295548893
0.9,1.5,1.0,0.3,0.38035834944112556,0.32876805922255037,0.2501213429435834
0.9,2.0,0.0,0.1,0.5561851872751308,0.5888688468511036,0.20172263616373132
0.9,2.0,0.0,0.2,0.4408294709258207,0.45412263573967254,0.22431821265502605
0.9,2.0,0.0,0.3,0.40527085225127985,0.3773344557356658,0.2250112072243808
0.9,2.0,0.25,0.1,0.573271434734374,0.5471759689632645,0.211258936353838
0.9,2.0,0.25,0.2,0.4541152444607284,0.45894711510698327,0.21186114779360649
0.9,2.0,0.25,0.3,0.34711275712274287,0.3113182132128949,0.23108186479078258
0.9,2.0,0.5,0.1,0.5631826746818365,0.5695782484868424,0.20406040170859635
0.9,2.0,0.5,0.2,0.4541992157500785,0.4706136514913878,0.21648870288735125
0.9,2.0,0.5,0.3,0.38690945750433337,0.38026298808374354,0.22794427475518525
0.9,2.0,0.75,0.1,0.5684130773746146,0.5529971435425889,0.18558468036720635
0.9,2.0,0.75,0.2,0.4715710629508616,0.47148830891862437,0.22373897308176494
0.9,2.0,0.75,0.3,0.3614396861943741,0.3345418418045954,0.23132475217286483
0.9,2.0,1.0,0.1,0.5367701469238151,0.5262783781314058,0.18655264001924066
0.9,2.0,1.0,0.2,0.47241025581783197,0.4809563591305668,0.20394656040446413
0.9,2.0,1.0,0.3,0.34588365389651343,0.3062309263655272,0.23277872035965402
0.9,2.5,0.0,0.1,0.5519949950151567,0.5662839362751764,0.20498729121692497
0.9,2.5,0.0,0.2,0.42973275288181917,0.42481674108065726,0.2193021863688682
0.9,2.5,0.0,0.3,0.3503515945395662,0.32201020434082767,0.21740115452778552
0.9,2.5,0.25,0.1,0.5693893711639058,0.5761684537259736,0.18262197945095393
0.9,2.5,0.25,0.2,0.430368895770487,0.3954450974674769,0.23295244674942067
0.9,2.5,0.25,0.3,0.35827183191693585,0.3423783047377622,0.2292823142020684
0.9,2.5,0.5,0.1,0.5610459290103292,0.552842390443995,0.19906221884419295
0.9,2.5,0.5,0.2,0.43476917504771884,0.45192629971908227,0.2223857473043393
0.9,2.5,0.5,0.3,0.3395085621707481,0.2996592626356899,0.2120652866843395
0.9,2.5,0.75,0.1,0.536985563946284,0.5360506738681827,0.209522750716827
0.9,2.5,0.75,0.2,0.41343512397096915,0.3851914016237471,0.21363556342048026
0.9,2.5,0.75,0.3,0.35361412617880333,0.3239757894130709,0.2351270134081828
0.9,2.5,1.0,0.1,0.550794373801607,0.5785755191156625,0.1942800413353098
0.9,2.5,1.0,0.2,0.4391841772541124,0.4158869837367231,0.22548231853339354
0.9,2.5,1.0,0.3,0.33621727603647783,0.3075870622882508,0.22075366750145775
0.9,3.0,0.0,0.1,0.5473621041448462,0.5602945473154555,0.18478552201660256
0.9,3.0,0.0,0.2,0.47430088580960394,0.5032424491236116,0.2095927101617544
0.9,3.0,0.0,0.3,0.39562762223814035,0.41215145090102234,0.21619316720854584
0.9,3.0,0.25,0.1,0.5501486680478491,0.5488552968244039,0.20768021460983085
0.9,3.0,0.25,0.2,0.4183198341355678,0.3910404823901401,0.23507884133543172
0.9,3.0,0.25,0.3,0.3599162957395709,0.3323084265817084,0.2456259430310405
0.9,3.0,0.5,0.1,0.5630494764624607,0.5543697372697997,0.23030339260453359
0.9,3.0,0.5,0.2,0.4461445891785693,0.45680848455716594,0.21777173301499023
0.9,3.0,0.5,0.3,0.35514759515921485,0.33843654827469816,0.23025023652455257
0.9,3.0,0.75,0.1,0.5476335608533907,0.5495088468264043,0.19744856089305626
0.9,3.0,0.75,0.2,0.4563645890964167,0.4508564642888927,0.19614794838538277
0.9,3.0,0.75,0.3,0.35312020377080783,0.3390710304830671,0.2148423857665459
0.9,3.0,1.0,0.1,0.5303849438476788,0.536615923426835,0.18629620572910247
0.9,3.0,1.0,0.2,0.4395790088393947,0.39549238033779954,0.23633207939895925
0.9,3.0,1.0,0.3,0.2884875603896612,0.23427468266082108,0.21661178904750888
